lucode,LULC_desc,LULC_veg,root_depth,Kc
1,AgriculturalVegetation,1,1000,0.65
2,PermanentCropland,1,2250,0.825
3,PermanentCropland,1,2250,0.825
4,PermanentCropland,1,2250,0.825
5,PermanentCropland,1,2250,0.825
6,PermanentCropland,1,2250,0.825
7,ArabaleLand,1,1000,0.65
8,ArabaleLand,1,1000,0.65
9,ArabaleLand,1,1000,0.65
10,ArtificialVegetatedArea,0,0,0.29
11,Forest,1,3500,1
12,Forest,1,3500,1
13,TransitionalWoodlandScrub,1,2750,0.75
14,Shrubland,1,2000,0.5
15,Shrubland,1,2000,0.5
16,Shrubland,1,2000,0.5
17,Shrubland,1,2000,0.5
18,Grassland,1,2000,0.65
19,Grassland,1,2000,0.65
20,Grassland,1,2000,0.65
21,InlandForestedWetland,0,3500,1
22,InlandForestedWetland,0,3500,1
23,Wetland,0,2000,0.5
24,Wetland,0,2000,0.5
25,Wetland,0,2000,0.5
26,IndustrialCommercialTransport,0,0,0.29
27,HighDensityUrban,0,0,0.29
28,MediumDensityUrban,0,0,0.29
29,LowDensityUrban,0,0,0.29
30,LowDensityUrban,0,0,0.29
31,Construction,0,500,0.2
32,BareArea,0,500,0.2
33,BareRock,0,500,0.2
34,BareArea,0,500,0.2
35,BeachDuneAndSand,0,500,0.2
36,BareArea,0,500,0.2
37,BareArea,0,500,0.2
38,StillWaterBody,0,10,1
39,WaterBody,0,10,1
40,StillWaterBody,0,10,1
41,Watercourse,0,10,1
42,GlacierAndPerpetualSnow,0,0,0.4
43,GlacierAndPerpetualSnow,0,0,0.4
