lucode,LULC_name,C_above,C_below,C_soil,C_dead
1,AgriculturalVegetation,5,0,0,0
2,PermanentCropland,5,0,0,0
3,PermanentCropland,5,0,0,0
4,PermanentCropland,5,0,0,0
5,PermanentCropland,5,0,0,0
6,PermanentCropland,5,0,0,0
7,ArabaleLand,5,0,0,0
8,ArabaleLand,5,0,0,0
9,ArabaleLand,5,0,0,0
10,ArtificialVegetatedArea,5,0,0,0
11,Forest,138,0,0,0
12,Forest,138,0,0,0
13,TransitionalWoodlandScrub,56,0,0,0
14,Shrubland,46,0,0,0
15,Shrubland,46,0,0,0
16,Shrubland,46,0,0,0
17,Shrubland,46,0,0,0
18,Grassland,4.5,0,0,0
19,Grassland,4.5,0,0,0
20,Grassland,4.5,0,0,0
21,InlandForestedWetland,127,0,0,0
22,InlandForestedWetland,127,0,0,0
23,Wetland,46,0,0,0
24,Wetland,46,0,0,0
25,Wetland,46,0,0,0
26,IndustrialCommercialTransport,0,0,0,0
27,HighDensityUrban,0,0,0,0
28,MediumDensityUrban,0,0,0,0
29,LowDensityUrban,0,0,0,0
30,LowDensityUrban,0,0,0,0
31,Construction,0,0,0,0
32,BareArea,1,0,0,0
33,BareRock,1,0,0,0
34,BareArea,1,0,0,0
35,BeachDuneAndSand,1,0,0,0
36,BareArea,1,0,0,0
37,BareArea,1,0,0,0
38,StillWaterBody,0,0,0,0
39,WaterBody,0,0,0,0
40,StillWaterBody,0,0,0,0
41,Watercourse,0,0,0,0
42,GlacierAndPerpetualSnow,0,0,0,0
43,GlacierAndPerpetualSnow,0,0,0,0
